สถานพยาบาลที่ได้รับการรับรองกระบวนการคุณภาพสถานพยาบาล (HA) และขั้นก้าวหน้า (A-HA) (ข้อมูล ณ 30 พฤศจิกายน 2563),,,,,,,,,
เขต,จังหวัด,โรงพยาบาล,H Code,สังกัด,ชนิดรพ.,ขั้นปัจจุบัน,วันรับรอง,วันหมดอายุ,หมายเหตุ
1,ลำพูน,ทุ่งหัวช้าง,11143,รัฐในสังกัดสป.สธ.,รพช.,r1,13-พ.ย.-18,12-พ.ย.-21,
1,ลำพูน,ศิริเวช ลำพูน,14555,เอกชน,เอกชน,2e,20-ส.ค.-19,19-ส.ค.-20,อยู่ระหว่างต่ออายุ
1,ลำพูน,ลี้,11142,รัฐในสังกัดสป.สธ.,รพช.,r3,29-ต.ค.-19,28-ต.ค.-22,
1,ลำพูน,เวียงหนองล่อง,24956,รัฐในสังกัดสป.สธ.,รพช.,1,21-ม.ค.-20,20-ม.ค.-21,
1,ลำพูน,ป่าซาง,11144,รัฐในสังกัดสป.สธ.,รพช.,r1,12-พ.ย.-19,11-พ.ย.-22,
1,ลำพูน,บ้านธิ,11145,รัฐในสังกัดสป.สธ.,รพช.,r4,15-ม.ค.-19,14-ม.ค.-22,
1,ลำพูน,ลำพูน,10714,รัฐในสังกัดสป.สธ.,รพท.,r4,20-ก.พ.-18,19-ก.พ.-21,
2,ตาก,พบพระ,11242,รัฐในสังกัดสป.สธ.,รพช.,r2,28-เม.ย.-20,27-เม.ย.-23,
2,ตาก,บ้านตาก,11238,รัฐในสังกัดสป.สธ.,รพช.,r4,13-ก.พ.-18,12-ก.พ.-21,
2,ตาก,แม่ระมาด,11240,รัฐในสังกัดสป.สธ.,รพช.,r3,18-ธ.ค.-18,17-ธ.ค.-21,
2,ตาก,อุ้มผาง,11243,รัฐในสังกัดสป.สธ.,รพช.,0,,,
2,ตาก,นครแม่สอด อินเตอร์เนชั่นแนล,40741,เอกชน,เอกชน,0,,,
2,ตาก,ท่าสองยาง,11241,รัฐในสังกัดสป.สธ.,รพช.,r3,28-เม.ย.-20,27-เม.ย.-23,
2,ตาก,แม่สอดราม,12055,เอกชน,เอกชน,0,,,
2,ตาก,แม่สอด,10723,รัฐในสังกัดสป.สธ.,รพท.,r4,8-ต.ค.-19,7-ต.ค.-22,
2,ตาก,ค่ายวชิรปราการ,11516,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r3,24-ธ.ค.-19,23-ธ.ค.-22,
2,ตาก,สามเงา,11239,รัฐในสังกัดสป.สธ.,รพช.,r1,9-ก.ค.-19,8-ก.ค.-22,
2,ตาก,สมเด็จพระเจ้าตากสินมหาราช,10722,รัฐในสังกัดสป.สธ.,รพท.,r3,23-เม.ย.-19,22-เม.ย.-22,
2,ตาก,วังเจ้า,27443,รัฐในสังกัดสป.สธ.,รพช.,2,21-ม.ค.-20,20-ม.ค.-21,
2,พิษณุโลก,กรุงเทพพิษณุโลก,12067,เอกชน,สมาคมโรงพยาบาลเอกชน,r3,20-ก.พ.-18,19-ก.พ.-21,
2,พิษณุโลก,รังสีรักษาและเวชศาสตร์นิวเคลียร,12064,เอกชน,เอกชน,0,,,
2,พิษณุโลก,มหาวิทยาลัยนเรศวร คณะแพทยศาสตร์,14972,มหาวิทยาลัย,โรงเรียนแพทย์,r3,12-พ.ย.-19,11-พ.ย.-22,
2,พิษณุโลก,วัดโบสถ์,11255,รัฐในสังกัดสป.สธ.,รพช.,r3,21-ม.ค.-20,20-ม.ค.-23,
2,พิษณุโลก,ชาติตระการ,11251,รัฐในสังกัดสป.สธ.,รพช.,r2,11-ก.พ.-20,10-ก.พ.-23,
2,พิษณุโลก,ค่ายสมเด็จพระนเรศวรมหาราช,11517,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r4,20-ก.พ.-21,19-ก.พ.-24,
2,พิษณุโลก,พุทธชินราช พิษณุโลก,10676,รัฐในสังกัดสป.สธ.,รพศ.,r4,24-ก.ย.-19,23-ก.ย.-22,
2,พิษณุโลก,ส่งเสริมสุขภาพ ศูนย์อนามัยที่ 2 พิษณุโลก,14662,รัฐในสังกัดสธ.,กรมอนามัย,3,9-ก.ย.-20,8-ก.ย.-22,
2,พิษณุโลก,รวมแพทย์พิษณุโลก,12065,เอกชน,สมาคมโรงพยาบาลเอกชน,2e,11-เม.ย.-13,10-เม.ย.-14,
2,พิษณุโลก,พิษณุเวช,12069,เอกชน,สมาคมโรงพยาบาลเอกชน,0,,,
2,พิษณุโลก,กองบิน 46,11518,กระทรวงกลาโหม,กรมแพทย์ทหารอากาศ,2e,25-เม.ย.-19,24-เม.ย.-20,อยู่ระหว่างต่ออายุ
2,พิษณุโลก,บางระกำ,11252,รัฐในสังกัดสป.สธ.,รพช.,r2,18-ก.พ.-18,17-ก.พ.-21,
2,พิษณุโลก,พิษณุโลกฮอสพิทอล,12063,เอกชน,สมาคมโรงพยาบาลเอกชน,3e,21-ต.ค.-14,20-ต.ค.-16,
2,พิษณุโลก,วังทอง,11256,รัฐในสังกัดสป.สธ.,รพช.,r4,8-ส.ค.-21,7-ส.ค.-24,
